#,Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,GP
63.0,Ricci Paolo Rivero,FUEL,0.47,0.394,121.9,4.3,9.0,6.7,16.9,10.3,1.7,1.0,30.8,-0.9,1.2,97.1,109.3,-12.1,36.8,12.9,11.0
64.0,Paul Christian Zamar,NPB,0.591,0.57,154.4,4.4,6.0,5.2,14.8,11.0,1.6,0.4,16.5,1.9,1.3,116.6,112.3,4.3,56.0,12.9,12.0
65.0,Stanley Pringle,BGK,0.524,0.525,127.0,2.8,9.5,6.2,14.0,11.6,2.5,0.4,20.2,-0.2,1.1,103.0,100.6,2.4,108.0,12.9,19.0
66.0,Jhan Nermal,NLEX,0.479,0.421,141.8,9.2,9.8,9.5,2.2,7.7,0.3,1.2,28.3,-4.0,1.1,100.2,114.7,-14.4,34.0,12.8,10.0
67.0,Kemark Carino,DYIP,0.469,0.45,135.6,9.0,13.3,11.2,4.4,8.7,1.5,8.8,14.7,-0.9,1.0,104.0,107.9,-3.9,71.3,12.7,12.0
68.0,Maverick Ahanmisi,BGK,0.478,0.408,138.0,6.5,14.4,10.5,18.9,11.8,0.9,0.4,20.3,2.1,1.1,106.0,102.1,3.9,176.9,12.6,19.0
69.0,Henry Galinato,TNT,0.569,0.512,120.4,14.7,23.4,19.2,9.6,28.8,1.0,1.2,22.4,-10.1,1.4,96.3,105.6,-9.4,45.5,12.5,13.0
70.0,Javee Mocon,FUEL,0.499,0.47,146.1,7.4,18.5,13.2,14.4,23.1,3.4,2.6,18.7,-3.8,1.1,91.6,101.1,-9.4,91.6,12.5,11.0
71.0,Kier Quinto,MER,0.529,0.5,151.8,3.2,12.4,7.7,15.3,13.7,1.0,0.5,20.1,0.0,1.2,104.8,104.4,0.4,155.5,12.5,26.0
72.0,Mark Sangalang,DYIP,0.577,0.525,149.1,7.3,14.0,10.8,12.2,17.1,0.7,1.5,16.9,-1.3,1.4,111.6,113.1,-1.5,60.4,12.5,14.0
73.0,Bryan Santos,XERS,0.585,0.556,162.3,3.2,10.8,7.0,9.7,9.4,1.0,1.3,16.2,0.4,1.3,117.8,115.7,2.1,89.1,12.5,11.0
74.0,Shaun Ildefonso,ROS,0.52,0.507,122.4,6.2,11.8,9.0,5.3,10.8,1.1,1.8,21.4,-3.0,1.2,99.4,107.9,-8.5,48.4,12.3,16.0
75.0,Kelly Williams,TNT,0.491,0.453,134.2,5.0,24.5,15.0,8.2,11.1,0.9,0.3,21.5,-1.9,1.1,99.3,105.4,-6.1,99.0,12.2,12.0
76.0,John De Los Santos,XERS,0.586,0.593,138.0,5.6,8.5,7.1,31.3,30.3,2.1,0.8,13.3,3.5,1.3,106.8,114.5,-7.6,67.6,12.2,11.0
77.0,Sidney Onwubere,BGK,0.467,0.405,120.4,14.6,18.6,16.6,9.6,13.9,1.3,2.2,17.4,-1.4,1.2,104.1,98.4,5.7,48.4,12.2,15.0
78.0,Jose Mendoza,MER,0.592,0.581,145.0,0.0,6.1,3.0,15.8,12.9,1.0,0.0,19.8,0.6,1.3,111.9,106.0,5.8,21.3,12.1,12.0
79.0,Bradwyn Guinto,BLAC,0.568,0.564,109.7,8.5,17.9,12.9,11.2,17.4,0.9,2.3,13.7,-0.7,1.3,110.0,106.4,3.6,67.6,12.0,11.0
80.0,Louis Cu,BGK,0.603,0.596,161.0,2.7,9.9,6.4,15.7,12.5,0.8,1.0,13.0,2.7,1.2,119.9,104.3,15.6,122.5,11.8,18.0
81.0,Enoch Valdez,NLEX,0.474,0.451,115.7,8.3,17.5,12.7,3.8,11.7,2.1,0.8,22.3,-4.4,1.1,94.3,107.5,-13.2,57.6,11.7,13.0
82.0,Christian David,BLAC,0.457,0.451,112.4,6.4,23.9,14.5,7.0,11.2,1.2,1.8,21.0,-2.5,1.0,92.3,104.9,-12.6,77.6,11.5,11.0
83.0,Jericho Cruz,SMB,0.488,0.439,144.3,3.9,8.1,6.0,10.9,9.9,1.3,0.4,20.1,0.3,1.1,105.2,110.2,-5.0,97.1,11.5,21.0
84.0,King Caralipio,XERS,0.551,0.518,160.1,8.9,21.6,15.2,7.1,16.7,1.1,0.8,13.7,-2.2,1.2,108.6,112.2,-3.7,69.1,11.5,11.0
85.0,Brandon Rosser,TNT,0.472,0.449,108.3,8.4,19.7,14.2,6.6,13.5,1.2,5.6,17.7,-2.5,1.3,97.4,103.5,-6.1,71.0,11.4,13.0
86.0,George Isaac Go,DYIP,0.515,0.507,137.0,6.0,18.4,12.5,8.6,15.4,0.8,3.1,19.5,-3.1,1.1,98.4,110.2,-11.8,114.6,11.3,14.0
87.0,Nick Demusis,ROS,0.526,0.5,138.6,5.4,17.8,11.6,6.2,6.7,1.8,0.4,13.4,0.6,1.2,110.9,104.5,6.3,53.0,11.3,17.0
88.0,Jeffrei Chan,NPB,0.499,0.5,119.4,0.0,8.9,4.4,14.6,13.0,3.6,0.8,18.1,0.6,1.1,93.6,108.5,-14.9,28.4,11.3,8.0
89.0,Keith Datu,ROS,0.479,0.442,130.1,7.8,13.5,10.6,6.8,7.5,0.7,2.9,18.0,-0.1,1.1,103.3,111.2,-7.9,57.5,11.2,11.0
90.0,Jose Raymar,MER,0.504,0.467,146.7,10.1,18.0,14.0,11.4,15.9,0.5,1.8,16.3,-1.3,1.1,102.8,103.5,-0.7,27.3,11.2,10.0
91.0,Terrence Romeo,SMB,0.444,0.431,129.8,0.5,8.5,4.6,21.0,9.1,0.7,0.2,28.3,2.8,0.9,97.0,111.1,-14.1,86.1,11.2,20.0
92.0,Anthony Semerad,NLEX,0.609,0.576,165.9,4.1,11.9,7.8,6.1,12.8,1.3,0.3,15.5,-2.0,1.3,113.8,111.4,2.5,77.6,11.2,13.0
93.0,Inand Fornilos,XERS,0.496,0.483,123.3,11.0,17.1,14.0,11.9,16.6,0.6,2.2,11.8,0.6,1.2,109.3,113.9,-4.6,48.0,11.1,11.0
94.0,William Raniel Navarro,NPB,0.438,0.39,126.7,9.2,20.7,14.9,9.7,14.6,0.8,5.1,21.7,-3.1,1.0,90.5,107.0,-16.5,72.0,10.9,10.0
95.0,Gelo Alolino,DYIP,0.452,0.417,134.4,2.5,7.4,5.0,21.6,13.1,2.0,0.9,20.5,3.0,1.0,97.7,113.4,-15.7,41.3,10.7,14.0
96.0,Paul Lee Dalistan,SHOT,0.505,0.404,147.4,2.3,14.7,8.4,18.8,15.0,0.8,0.3,18.5,1.5,1.2,105.5,105.5,0.0,79.6,10.6,12.0
97.0,Simon Camacho,FUEL,0.553,0.526,152.6,9.3,9.7,9.5,5.0,13.1,1.6,6.7,10.7,-1.0,1.2,113.7,105.8,7.9,19.8,10.4,11.0
98.0,Anjo Caram,MER,0.563,0.547,173.6,1.9,3.8,2.8,13.4,10.0,0.8,0.6,15.0,2.3,1.2,116.1,108.1,8.1,59.0,10.3,24.0
99.0,Jamie Orme,BGK,0.446,0.424,127.9,7.8,14.5,11.1,17.1,17.0,1.4,2.1,25.1,-3.3,1.0,89.8,101.4,-11.6,68.3,10.3,8.0
100.0,Norberto Torres,MER,0.49,0.48,133.4,7.5,12.7,10.0,5.1,11.4,1.9,2.7,15.9,-1.9,1.0,102.0,101.5,0.5,49.8,10.2,24.0
101.0,Tyrus Hill,BLAC,0.483,0.443,141.4,6.8,11.8,9.1,7.7,16.2,2.5,2.3,14.9,-2.1,1.0,96.8,104.4,-7.6,44.1,10.1,11.0
102.0,James Laput,SHOT,0.571,0.524,124.6,6.6,15.4,10.9,6.0,18.1,0.4,0.8,18.0,-5.1,1.4,102.8,104.7,-1.9,27.3,10.1,11.0
103.0,Chris Lalata,FUEL,0.691,0.769,155.9,1.9,3.6,2.8,3.1,11.6,0.0,3.2,13.4,-2.3,1.6,115.3,113.9,1.4,7.9,9.9,11.0
104.0,Joseph Eriobu,SHOT,0.511,0.5,133.0,6.1,9.5,7.7,1.6,10.4,2.4,0.0,19.5,-4.0,1.1,100.2,103.2,-3.0,16.6,9.9,12.0
105.0,Andrei Caracut,ROS,0.517,0.485,138.2,1.3,7.4,4.4,24.3,16.7,0.2,0.2,19.9,2.6,1.2,100.3,112.1,-11.8,112.5,9.8,18.0
106.0,David Marcelo,NLEX,0.472,0.464,89.9,11.4,16.4,13.9,15.7,22.4,1.3,2.8,13.7,-0.2,1.3,100.7,105.3,-4.7,39.9,9.8,11.0
107.0,Jansen Rios,MER,0.503,0.476,164.8,5.3,9.8,7.5,9.2,4.4,1.6,1.9,10.4,3.0,1.0,120.5,106.0,14.5,19.8,9.7,15.0
108.0,Abu Jahal Tratter,SHOT,0.609,0.634,103.4,10.0,13.0,11.5,5.0,25.2,0.9,0.0,16.0,-7.2,1.4,96.9,105.6,-8.7,32.6,9.5,12.0
109.0,Richard Escoto,BLAC,0.513,0.5,134.5,4.8,12.6,8.4,5.3,10.2,1.1,1.9,15.0,-1.1,1.2,103.3,107.7,-4.4,29.1,9.5,11.0
110.0,Michael Miranda,NLEX,0.567,0.542,170.3,2.0,17.0,9.4,8.8,12.1,0.5,0.9,15.9,-0.8,1.2,107.5,109.5,-1.9,41.5,9.5,12.0
111.0,Jewel Ponferada,TNT,0.632,0.643,152.4,6.9,16.8,11.9,9.4,31.0,0.4,5.7,14.0,-5.4,1.5,98.3,105.9,-7.7,25.8,9.3,14.0
112.0,L.A. Tenorio,BGK,0.459,0.437,143.3,1.7,14.4,8.2,22.0,11.9,1.1,0.0,13.3,5.7,1.0,106.1,101.9,4.2,62.3,9.2,19.0
113.0,Jonathan Jed Mendoza,SHOT,0.502,0.463,140.7,2.5,7.3,4.9,17.4,16.7,2.4,0.0,13.7,2.1,1.1,103.3,104.3,-1.1,34.1,9.2,12.0
114.0,Brian Quinton Heruela,TNT,0.475,0.482,72.6,5.6,7.0,6.3,13.8,6.6,1.7,0.0,11.4,4.3,1.0,113.6,109.5,4.1,24.6,9.2,13.0
115.0,Philip Cahilig,DYIP,0.558,0.573,107.1,6.5,15.9,11.4,7.2,19.3,0.7,2.6,12.4,-2.0,1.2,103.7,111.8,-8.1,52.6,9.0,14.0
116.0,Aldrech Ramos,DYIP,0.531,0.512,155.1,5.1,10.0,7.6,9.0,11.7,1.0,1.7,11.4,1.0,1.1,111.9,113.7,-1.8,37.1,8.8,14.0
117.0,Mac Belo,ROS,0.436,0.406,122.3,10.3,20.8,15.7,5.4,10.1,0.0,2.9,20.2,-2.2,1.0,93.1,103.0,-9.8,20.8,8.8,10.0
118.0,Brent Paraiso,NPB,0.528,0.5,156.2,2.8,13.3,7.9,14.4,26.9,3.3,2.5,17.3,-4.3,1.2,87.4,103.4,-15.9,15.8,8.8,10.0
119.0,Ryan Reyes,TNT,0.457,0.357,123.6,0.0,9.7,4.9,24.2,31.3,4.0,0.0,7.5,6.0,1.1,101.5,102.7,-1.3,18.0,8.6,11.0
120.0,Glenn Khobuntin,TNT,0.492,0.472,129.4,7.8,10.7,9.3,5.6,10.5,0.4,1.0,15.4,-1.2,1.1,104.3,111.3,-7.1,67.9,8.6,14.0
121.0,Vic Manuel,SMB,0.533,0.5,150.0,5.5,8.8,7.2,8.2,19.2,0.0,1.6,23.6,-6.7,1.1,95.2,113.1,-17.9,5.1,8.5,12.0
122.0,Richard Rodger,NLEX,0.431,0.385,155.5,2.0,14.7,8.0,14.3,8.5,1.2,1.3,15.2,3.1,0.9,95.9,111.3,-15.4,45.1,8.4,10.0
123.0,Nard Pinto,BGK,0.498,0.477,141.2,4.2,14.6,9.5,11.1,18.8,1.6,0.0,12.7,-0.7,1.1,97.6,100.7,-3.0,64.3,8.3,19.0
124.0,Chris Ross,SMB,0.46,0.44,126.0,0.8,9.9,5.4,15.9,19.8,2.7,0.7,8.8,4.1,1.0,103.0,106.1,-3.1,121.5,8.2,23.0
125.0,Joseph Matthew Nieto,NLEX,0.419,0.381,124.5,1.5,8.9,5.0,26.6,15.8,1.5,0.0,17.4,4.5,0.9,92.3,114.6,-22.2,38.5,7.8,11.0
